epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1968,0.92718,2.92762,1.22794,0.1718,0.42111,0.19579,0.12663,1.15348,2.39107,1.52523,0.0671493,0.000331825,0.000331825
2,101.134,0.8784,2.0809,1.18058,0.21611,0.46813,0.26803,0.19382,0.91763,1.90439,1.28091,0.0341362,0.000651988,0.000651988
3,146.878,0.84703,1.90293,1.15258,0.22148,0.49448,0.2912,0.20028,1.03004,1.89688,1.45,0.00110978,0.000958951,0.000958951
4,191.765,0.84254,1.82254,1.14834,0.22607,0.52671,0.31433,0.22617,0.96216,1.82238,1.3212,0.0009406,0.0009406,0.0009406
5,236.941,0.81055,1.72014,1.12309,0.33321,0.5274,0.41266,0.31061,0.89357,1.62114,1.25623,0.0009208,0.0009208,0.0009208
6,282.375,0.77119,1.63934,1.10816,0.31456,0.52746,0.42487,0.31594,0.88541,1.5944,1.25144,0.000901,0.000901,0.000901
7,327.023,0.76294,1.57849,1.0981,0.41029,0.57292,0.50991,0.38592,0.87353,1.46278,1.22899,0.0008812,0.0008812,0.0008812
8,372.646,0.76263,1.5218,1.09533,0.42742,0.55973,0.51498,0.39398,0.84215,1.44308,1.19665,0.0008614,0.0008614,0.0008614
9,417.657,0.7536,1.45987,1.08237,0.54277,0.60366,0.59919,0.46496,0.83698,1.28772,1.18919,0.0008416,0.0008416,0.0008416
10,462.847,0.73945,1.3919,1.08054,0.59378,0.60024,0.64956,0.49708,0.81437,1.26395,1.18361,0.0008218,0.0008218,0.0008218
11,507.858,0.73269,1.31241,1.07516,0.62158,0.61985,0.67206,0.53051,0.79705,1.15891,1.14882,0.000802,0.000802,0.000802
12,552.27,0.71979,1.28211,1.07102,0.65885,0.68697,0.73832,0.59107,0.81246,1.04505,1.14894,0.0007822,0.0007822,0.0007822
13,596.251,0.71816,1.21146,1.05766,0.71401,0.64336,0.7198,0.57576,0.7968,1.07256,1.1391,0.0007624,0.0007624,0.0007624
14,640.344,0.69815,1.1858,1.05289,0.78335,0.65663,0.78072,0.6215,0.80973,1.03226,1.16525,0.0007426,0.0007426,0.0007426
15,684.484,0.69648,1.14666,1.054,0.76919,0.7285,0.79774,0.63785,0.77925,0.95365,1.12953,0.0007228,0.0007228,0.0007228
16,729.006,0.70627,1.1229,1.05653,0.80573,0.71135,0.80339,0.65073,0.76999,0.90738,1.12772,0.000703,0.000703,0.000703
17,773.675,0.69314,1.11201,1.0463,0.7763,0.75828,0.82743,0.67326,0.74497,0.87447,1.10759,0.0006832,0.0006832,0.0006832
18,818.064,0.69752,1.09365,1.05471,0.83,0.74116,0.84131,0.67612,0.75787,0.85999,1.11835,0.0006634,0.0006634,0.0006634
19,862.779,0.67159,1.02775,1.03667,0.78991,0.78258,0.84143,0.68295,0.749,0.80946,1.10429,0.0006436,0.0006436,0.0006436
20,906.504,0.67337,1.00283,1.0385,0.8207,0.78824,0.86775,0.69806,0.74285,0.75666,1.09469,0.0006238,0.0006238,0.0006238
21,950.417,0.6612,0.99667,1.0289,0.81376,0.75801,0.84738,0.69411,0.73118,0.79022,1.09194,0.000604,0.000604,0.000604
22,994,0.66403,0.978,1.03141,0.84471,0.76969,0.86687,0.70715,0.73261,0.7668,1.08459,0.0005842,0.0005842,0.0005842
